"id","service_a","service_b","service_c","service_d","service_e","service_f","service_g","service_h","service_i","service_j","service_k","service_l","service_m","service_n"
16757,0,0,0.00400237720603549,0.121786218943052,0.0382004691477575,0,0.268508795933934,1,0.0303818583353635,0.707035267939979,0.184197237362855,0,0,0.409061805846684
9752,0,0,0,0.00635492654050414,0,0,0,0.593699226871576,0,0.920167644734413,0.719653146178832,0.983779932685364,0.431757349912698,0
12839,0,0,0,0.339483810160061,0.154372164956507,0,0.205592315885867,1,0.0320312865023275,0.922562428497431,0.652913530024659,0.777356366821195,0.069025566313049,0.291904779902188
7689,0.20276766891435,0.424951284716279,0.645060141156331,0.301576977341254,0.0188271866085152,0,0.128421458782357,0.812283172038911,0.0195683515664058,1,1,1,0.295525315783262,0.419298688641963
6885,0.650103083579112,0.794587578590555,0.27165657458139,0.166052537906647,0,0.0369873673383622,0,0.554391708272406,0.0391652872583797,1,1,0.497237986669216,0,0
2103,0,0,0,0,0,0.170200559297658,0.075882111274906,0.138924160956365,0,0.491906427686231,0.919968016038914,0.162459285590998,0.300740816216002,0.249088615211335
8661,0.871211240485388,0.1760671432408,0.51198040818082,0.179181311002423,0.118515213208537,0,0,0.415749183804337,0.0668076963709637,1,1,1,0.423424746080768,0.516731267102544
15658,0,0,0,0,0,0,0.298870313094303,0.990646107008171,0.01324079256409,0.840441623877064,1,0,0,0.326548155320477
15109,0.528294379936228,0.411087087651192,0.338995843737582,0.104708037319072,0.0405435129895744,0,0.00749218028313648,1,0.0818201463383706,1,0.831342384500961,1,0.187628875986299,0.417236502710397
602,0.87537128793866,0.204112733877248,0.949085338713902,0.181371686869156,0,0,0,0.396939011589322,0.0213551506469658,0.742251115803584,0.819364981567282,0.840745269782948,0.217276464957163,0.586792186146563
15931,0.357652871238617,0.171923309136584,0.0512754376383928,0.0983276516879901,0,0,0,1,0.0564187128594856,1,0.790321104866412,0.627507419223958,0.034987962200039,0.398224178832199
17554,0,0,0,0,0,0.0852740322857159,0,0.464176438924991,0,0.790214267144005,0.833471673474085,0.518850080312993,0,0
9944,0.956273533142134,0,0,0.124465046287002,0,0,0,0.64602924857725,0.03864529125147,1,1,0.692157900053059,0.139326978279749,0.250513481889089
14340,0.532808701341086,0.613616519232802,0.0665782913592199,0.115184672795421,0,0.256974776282385,0.00759929557711584,0.892627020038286,0,1,1,0.910681827467907,0.189445510314845,0
4356,0,0,0,0.0686052847282992,0,0,0,1,0,0.697887147667757,0.584702175283645,0.692490866028047,0.903710004956027,0.0463872809860784
2011,0.584087682062719,0.264269547307542,0.100091393058006,0.109672403636942,0,0,0,0.590307590665305,0.0508638550137037,1,1,0.774672427505108,0.131910462478076,0.346548458764265
7164,0.808699667985161,0.401741634080953,0.581682975017779,0.163659875602327,0.209208199969324,0,0,0.248159893100872,0.0512966471471867,1,1,0.239441519173545,0.381616310016791,0.131123904364222
2177,1,0.911120185095434,1,0.160712835065375,0.081227132423339,0,0,0.538269987680388,0.0380039187384909,1,0.647777672051292,0.542426877774507,0,0.147877754106851
1758,0,0.421432452949432,0.689521078853073,0,0,0,0,0.208651667248696,0,1,0.940149410503472,0.443046666330194,0,0
523,0.399236694715339,0,0.126929843163496,0.0839797247209918,0,0,0,0.909612890546164,0.0417126753632417,1,1,0.665893267749804,0.115678608794736,0.249740100994821
14416,0,0,0,0,0,0,0.207382766238119,1,0.00923779561108013,0.85751395573246,1,0.390362721635236,0,0.169135736004949
10480,0,0.0968086992729573,0.078453643364017,0.126001527215817,0,0,0,0.772748487622559,0,0.717954780898223,1,1,0.935540754023211,0
